ID,Продукт,Регион,по,Правообладатель,Новое назавание
19183251,GOD EATER 3,EUR,EUR GAMES. Bandai Namco Ent. 2 (Genba),Genba,GOD EATER 3 EUR
19183261,DARK SOULS™ II Crown of the Ivory King,EUR,EUR GAMES. Bandai Namco Ent. 2 (Genba),Genba,DARK SOULS™ II Crown of the Ivory King EUR
19183264,Digimon World: Next Order,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,Digimon World: Next Order EUR
19183265,We Love Katamari REROLL+ Royal Reverie Special Edition,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,We Love Katamari REROLL+ Royal Reverie Special Edition EUR
19183273,Ni no Kuni Wrath of the White Witch Remastered,EUR,EU ИГРЫ. Bandai Namco Ent. 2 (Genba),Genba,Ni no Kuni Wrath of the White Witch Remastered EUR
19183274,Captain Tsubasa: Rise of New Champions,EUR,EUR GAMES. Bandai Namco Ent. 2 (Genba),Genba,Captain Tsubasa: Rise of New Champions EUR
19183327,Workers & Resources: Soviet Republic - Biomes,RU,ИГРЫ. Hooded Horse,Hooded Horse,Workers & Resources: Soviet Republic - Biomes RU
19183335,Workers & Resources: Soviet Republic - Biomes,NZD,Hooded Horse,Hooded Horse,Workers & Resources: Soviet Republic - Biomes NZD
19183336,Workers & Resources: Soviet Republic - Biomes,NOK,NOK ИГРЫ. Hooded Horse,Hooded Horse,Workers & Resources: Soviet Republic - Biomes NOK
19183347,SunnySide,CNY,CNY GAMES. Merge Games (Genba),Genba,SunnySide CNY
19183352,Tropico 6 - Tropican Shores,RU,ИГРЫ. Kalypso (Genba),Genba,Tropico 6 - Tropican Shores RU
19183360,Incursion Red River,EU,EU ИГРЫ. Green Man Gaming (Genba),Genba,Incursion Red River EU
19183533,God of War Ragnarök,UAH,UAH ИГРЫ. PlayStation PC LLC (Genba),Genba,God of War Ragnarök UAH
19183534,God of War Ragnarök - Deluxe Edition,UAH,UAH ИГРЫ. PlayStation PC LLC (Genba),Genba,God of War Ragnarök - Deluxe Edition UAH
19183539,Bakery Simulator,RUB,ИГРЫ. Ultimate Games SA (Genba),Genba,Bakery Simulator RUB
19183540,Camper Jumper Simulator,RUB ,RUB GAMES. Ultimate Games SA (Genba),Genba,Camper Jumper Simulator RUB 
19183544,Clinically Dead,RUB,ИГРЫ. Ultimate Games SA (Genba),Genba,Clinically Dead RUB
19183553,Starship Troopers: Terran Command - Urban Onslaught,RU,ИГРЫ. Slitherine Software (Genba),Genba,Starship Troopers: Terran Command - Urban Onslaught RU
19183558,Earthworms,RUB,ИГРЫ. Ultimate Games SA (Genba),Genba,Earthworms RUB
19183560,Escape Doodland,RUB,ИГРЫ. Ultimate Games SA (Genba),Genba,Escape Doodland RUB
19183567,Farming Life,RUB ,RUB GAMES. Ultimate Games SA (Genba),Genba,Farming Life RUB 
19183568,Fishing Adventure,RU,ИГРЫ. THQ Nordic Games,ИГРЫ. THQ Nordic Games,Fishing Adventure RU
19183592,"Slice, Dice & Rice",RUB,RUB GAMES. Ultimate Games SA (Genba),Genba,"Slice, Dice & Rice RUB"
19183599,Crime Boss: Rockay City (Steam),USD,USD (CIS) ИГРЫ. 505 Games (Genba),Genba,Crime Boss: Rockay City (Steam) USD
19183741,Monster Hunter Stories Deluxe Collection,EUR,EU ИГРЫ. Capcom (Genba),Genba,Monster Hunter Stories Deluxe Collection EUR
