PRODUCTID,listing,catID,product
657aed9d401bd935a9a4501f,Nightmare: The Lunatic,19187010,Nightmare: The Lunatic 
63cee07b617e980001ec3df6,Occupy Mars: The Game,19181493,Occupy Mars: The Game RUB
5cc9cb0e6210ea8234a7298c,Out of Space,18746288,Out of Space
65d48f9cd95c887611ea8186,Outpost: Infinity Siege,19184275,Outpost: Infinity Siege CIS
6602fef4eff202156528d4c0,Outpost: Infinity Siege: Vanguard Edition,19184276,Outpost: Infinity Siege - Vanguard Edition USD
62d527fe0eda6de0a0d4956d,Outward Definitive Edition EU,19185827,Outward Definitive Edition / Tier 1 
5c9b6c7f2539a4e8f17dab6a,Overcooked EU,19150137,Overcooked! EU
5c9b76712539a4e8f1830d4b,Overcooked! 2 EU,19150140,Overcooked! 2
606194c26b2e10ae87b8424f,Overcooked! All You Can Eat,19150146,Overcooked! All You Can Eat
6941703249734a2ddd745ed7,PIONER,19622815,Pioneer Standard Edition EUR
69301f24a8389f2d5d5b1342,PIONER EU,19622815,Pioneer Standard Edition EUR
5c9b67562539a4e8f17a1cd5,POSTAL Redux,19150814,POSTAL Redux
68bff00cf5b37415cefdc00c,Painkiller,19623720,Painkiller KRW
66d65f094ccbd97a34237c99,Panzer Corps 2 EU,19153169,Rain World: Downpour
69c7a11e3e89a81aad84c062,Paragnosia Museum,19640597,Paragnosia: Museum 
6672c6bf26ea3b4755cbc36e,Pax Dei,19622568,Pax Dei CNY
656940ca9a7b682e29dcbfbf,Pixel Cafe,19186217,Pixel Cafe RUB
5d8884276821435884f59039,Police Stories,19168538,Police Stories RU
5c9b60042539a4e8f1730337,Postal 2,19150815,POSTAL 2 RUB
5c9b64062539a4e8f1765cf0,Postal 2 - Paradise Lost DLC,19150816,POSTAL 2: Paradise Lost RUB
5c9b66432539a4e8f1791760,Punch Club,19146777,Punch Club 
6517b391c6579a3c61d54d4c,Quasimorph,19175411,Quasimorph RU
6858e23f471843117dcb65f6,REMATCH EU,19189054,REMATCH KRW
692f12fcbee3b11536ac9739,Restaurats EU,19613694,Restaurats EUR
62266255eef19000011f3a74,Risk of Rain 2 - Survivors of the Void DLC,19636875,risk-of-rain-2-survivors-of-the-void--5 
5c9b5f3a2539a4e8f1726d09,Robin Hood The Legend of Sherwood,19152885,Robin Hood: The Legend of Sherwood 
6877528472d21616996e0930,RoboCop: Rogue City Unfinished Business EU,19188722,RoboCop: Rogue City - Unfinished Business NZD
6900c29111a1623319301148,Rue Valley,19192833,Rue Valley NZD
6913f0d460d6c749e374942f,Rue Valley - Digital Deluxe Edition,19192834,Rue Valley - Deluxe Edition 
6468cfb845e1df0001a18f03,Rule the Waves 3,19168803,Rule the Waves 3
5c9b5f3e2539a4e8f1727063,Sacred Gold,19149442,Sacred Gold RUB
5c9b63ef2539a4e8f1764b24,Saints Row 2 EU,19185990,Saints Row 2
5dc2dbc74ceba2c51637cab3,Shadow of the Tomb Raider Definitive Edition,19168936,Shadow of the Tomb Raider: Definitive Edition
68c044a99de71c49c55795fe,Shape of Dreams,19191611,Shape of Dreams UAH
630f895d34a1d50001ff4487,Shin chan: Me and the Professor on Summer Vacation The Endless Seven-Day Journey,19182331,Shin chan: Me and the Professor on Summer Vacation - The Endless Seven-Day Journey 
68ef864d2c1aa679cc007650,Ship Graveyard Simulator 2 - Fishing Boats DLC,19192387,Ship Graveyard Simulator 2 - Fishing Boats DLC RUB
6751fe748924401d3d9a3fe2,Ship Graveyard Simulator 2 - Floating Cities DLC,19186594,Ship Graveyard Simulator 2 - Floating Cities DLC RUB
67e505e0ce289738b15b617d,Ship Graveyard Simulator 2 - Steam Ships DLC,19192385,Ship Graveyard Simulator 2 - Steam Ships DLC RUB
65e42cbdb7c678449425711a,Ship Graveyard Simulator 2 - Steel Giants DLC,19184103,Ship Graveyard Simulator 2 - Submarines DLC RUB
6411c5754cf05922cdfdb76f,Shotgun King: The Final Checkmate EU,19181425,Shotgun King: The Final Checkmate EUR
5c9b68742539a4e8f17aed06,Sid Meier's Civilization VI,19184032,Sid Meier’s Civilization® VI KRW
688131f50e328213180a2934,Sintopia,19643857,Sintopia 
5c9b66172539a4e8f178df23,Squad,19179758,Squad 
68bedd0e9aba71258fbe7796,Star Fire: Eternal Cycle,19192270,Star Fire: Eternal Cycle 
69fa10f6faa68a1cfc28b3a0,Steel Artery: Train City Builder,19674348,Steel Artery: Train City Builder 
6979f0caf5c559298bff085c,Stranded Deep EU,19624358,Stranded Deep 
6836fd9cdf669744fd3b002d,Stray EU,19184101,Stray EU
655b72d0ae196da0ab5b021a,Street Fighter 6 - Year 1 Character Pass DLC,19613672,Street Fighter 6 - Year 1 Character Pass UAH
655e1919ae196da0ab57dcca,Street Fighter 6 - Year 1 Ultimate Pass DLC,19613673,Street Fighter 6 - Year 1 Ultimate Pass UAH
66b1d7c9ff79c3662c1ba107,Street Fighter 6 - Year 2 Character Pass DLC,19613674,Street Fighter 6 - Year 2 Character Pass UAH
61623141bbbadb1f257797e6,Street Fighter V - Season 5 Premium Pass DLC,19613654,Street Fighter V - Season 5 Premium Pass 
5c9b6a092539a4e8f17c12ee,Styx: Master of Shadows EU,19622173,Styx: Master of Shadows NZD
67ebbee9208722901ad7572b,Sunderfolk,19627362,Sunderfolk 
66cec37936c24953198c058b,Tavern Manager Simulator,19188770,Tavern Manager Simulator RUB
66de6d684ccbd97a3468e3e6,Taxi Life: A City Driving Simulator Supporter Edition EU,19181161,Taxi Life: A City Driving Simulator - Supporter Edition
5c9b5f4a2539a4e8f17279be,The Book of Unwritten Tales,11250812,The Book of Unwritten Tales RU
5c9b677a2539a4e8f17a3800,The Guild Gold Edition,14238327,The Guild Gold Edition 
5c9b5fad2539a4e8f172c15a,The Guild II Renaissance,11169243,The Guild II - Renaissance
615eefeb84e57000013b1a04,The Last Campfire,19150757,The Last Campfire (Steam) CNY
69f1e7e0faa68a1cfc281f47,Thick As Thieves,19675566,Thick As Thieves 
66dfb40e4ccbd97a3476be3c,Thief Simulator EU,19184903,Thief Simulator EUR
678676476d283f13721db8f7,Threefold Recital,19636182,Threefold Recital 
5e64a551ea964fb5986c0eab,Tomb Raider GOTY Edition (2014),19168941,Tomb Raider GOTY
68c31f8692989708918796a7,Town to City,19191615,Town to City EUR
694536ee9376197fdefecbac,Train Sim World 6,19191893,模拟火车世界6 
682b2c9d70385c66ef56c7f6,Train Valley 2 - Japanese Trails DLC,19188485,Train Valley 2: Japanese Trails RUB
62cd92ad3b68a30001ca5d74,Urbek City Builder,19181622,Urbek City Builder RUB
643507010b7a93a5ab4bf130,Wall World,19178991,Wall World
64d2783f40466d26b40fa733,Wall World - Deep Threat DLC,19178992,Wall World: Deep Threat
69132170d0285c6aa85066ff,Wall World 2,19192751,Wall World 2 RUB
5c9b78e52539a4e8f18470d4,"Warhammer 40,000: Mechanicus Omnissiah Edition",19149935,"Warhammer 40,000: Mechanicus Omnissiah Edition EU"
683011f8a29689ead23b7811,"Warhammer 40,000: Rogue Trader - Season Pass 2 DLC",19188711,"Warhammer 40,000: Rogue Trader – Season Pass 2 NZD"
657af0296647a7841e71d7d8,"Warhammer 40,000: Rogue Trader - Season Pass DLC",19178417,"Warhammer 40,000: Rogue Trader - Season Pass NZD"
657717546647a7841e33659e,"Warhammer 40,000: Rogue Trader Deluxe Edition",19178413,"Warhammer 40,000: Rogue Trader - Deluxe Edition NZD"
65b0f68274a0ac8b6cd983a0,"Warhammer 40,000: Rogue Trader Voidfarer Edition",19178414,"Warhammer 40,000: Rogue Trader - Voidfarer Edition NZD"
6538e16035b3c6208af240ab,Winter Survival,19192276,Winter Survival RUB
65c4961aa0044d5ea1c53a6d,Wizardry: Proving Grounds of the Mad Overlord RoW,19186285,Wizardry: Proving Grounds of the Mad Overlord EUR
66c028eb59401c6b655ca803,Wizardry: The Five Ordeals,19187060,Wizardry: The Five Ordeals UAH
67caa8feaa175f17d3a5223f,Workers & Resources: Soviet Republic EU,19176477,Workers & Resources: Soviet Republic EUR
65e715665b7837876aec4ac8,World War Z,19168910,World War Z KR
5c9b66802539a4e8f1795f90,XCOM 2,19634510,XCOM® 2 
62f9eecf0eda6de0a0e74879,iTunes ?100 TR Card,19644710,App Store & iTunes 100 TRY
5e99ae11d9f56e2d4e460e6a,iTunes ?50 TR Card,19644707,App Store & iTunes 50 TRY
6135f4072adc85b8f154231d,rFactor 2 EU,19192591,rFactor 2 CNY
